system,numa,vCPU,bs,dt,in_size,out_size,model,index,time
tdx,1s,16,64bs,bf16,128,128,7B,12,678.375226
tdx,1s,16,64bs,bf16,128,128,7B,13,680.337362
tdx,1s,16,64bs,bf16,128,128,7B,14,678.432384
tdx,1s,16,64bs,bf16,128,128,7B,15,678.219598
tdx,1s,16,64bs,bf16,128,128,7B,16,679.320157
tdx,1s,16,64bs,bf16,128,128,7B,17,679.695439
tdx,1s,16,64bs,bf16,128,128,7B,18,679.240247
tdx,1s,16,64bs,bf16,128,128,7B,19,679.014137
tdx,1s,16,64bs,bf16,128,128,7B,20,783.521204
tdx,1s,16,64bs,bf16,128,128,7B,21,753.413704
tdx,1s,16,64bs,bf16,128,128,7B,22,680.045316
tdx,1s,16,64bs,bf16,128,128,7B,23,678.841053
tdx,1s,16,64bs,bf16,128,128,7B,24,679.067067
tdx,1s,16,64bs,bf16,128,128,7B,25,678.259346
tdx,1s,16,64bs,bf16,128,128,7B,26,678.761216
tdx,1s,16,64bs,bf16,128,128,7B,27,678.080077
tdx,1s,16,64bs,bf16,128,128,7B,28,678.718755
tdx,1s,16,64bs,bf16,128,128,7B,29,678.878078
tdx,1s,16,1bs,bf16,128,128,7B,0,21.565927
tdx,1s,16,1bs,bf16,128,128,7B,1,21.654777
tdx,1s,16,1bs,bf16,128,128,7B,2,21.572582
tdx,1s,16,1bs,bf16,128,128,7B,3,21.605202
tdx,1s,16,1bs,bf16,128,128,7B,4,21.566906
tdx,1s,16,1bs,bf16,128,128,7B,5,21.623033
tdx,1s,16,1bs,bf16,128,128,7B,6,21.586278
tdx,1s,16,1bs,bf16,128,128,7B,7,21.566494
tdx,1s,16,1bs,bf16,128,128,7B,8,21.574798
tdx,1s,16,1bs,bf16,128,128,7B,9,21.596505
tdx,1s,16,1bs,bf16,128,128,7B,10,21.569906
tdx,1s,16,1bs,bf16,128,128,7B,11,21.560063
tdx,1s,16,1bs,bf16,128,128,7B,12,21.578937
tdx,1s,16,1bs,bf16,128,128,7B,13,21.609071
tdx,1s,16,1bs,bf16,128,128,7B,14,21.663157
tdx,1s,16,1bs,bf16,128,128,7B,15,21.604983
tdx,1s,16,1bs,bf16,128,128,7B,16,21.547253
tdx,1s,16,1bs,bf16,128,128,7B,17,21.623295
tdx,1s,16,1bs,bf16,128,128,7B,18,21.579661
tdx,1s,16,1bs,bf16,128,128,7B,19,21.559258
tdx,1s,16,1bs,bf16,128,128,7B,20,21.625834
tdx,1s,16,1bs,bf16,128,128,7B,21,21.600603
tdx,1s,16,1bs,bf16,128,128,7B,22,21.607701
tdx,1s,16,1bs,bf16,128,128,7B,23,21.600084
tdx,1s,16,1bs,bf16,128,128,7B,24,21.552354
tdx,1s,16,1bs,bf16,128,128,7B,25,21.575372
tdx,1s,16,1bs,bf16,128,128,7B,26,21.567385
tdx,1s,16,1bs,bf16,128,128,7B,27,21.582595
tdx,1s,16,1bs,bf16,128,128,7B,28,21.619789
tdx,1s,16,1bs,bf16,128,128,7B,29,21.618354
tdx,1s,16,1bs,bf16,512,128,7B,0,28.2818
tdx,1s,16,1bs,bf16,512,128,7B,1,28.18541
tdx,1s,16,1bs,bf16,512,128,7B,2,28.234026
tdx,1s,16,1bs,bf16,512,128,7B,3,28.311561
tdx,1s,16,1bs,bf16,512,128,7B,4,28.193713
tdx,1s,16,1bs,bf16,512,128,7B,5,28.220461
tdx,1s,16,1bs,bf16,512,128,7B,6,28.159094
tdx,1s,16,1bs,bf16,512,128,7B,7,28.264573
tdx,1s,16,1bs,bf16,512,128,7B,8,28.22752
tdx,1s,16,1bs,bf16,512,128,7B,9,28.231599
tdx,1s,16,1bs,bf16,512,128,7B,10,28.252928
tdx,1s,16,1bs,bf16,512,128,7B,11,28.301767
tdx,1s,16,1bs,bf16,512,128,7B,12,28.263283
tdx,1s,16,1bs,bf16,512,128,7B,13,28.24884
tdx,1s,16,1bs,bf16,512,128,7B,14,28.240728
tdx,1s,16,1bs,bf16,512,128,7B,15,28.327059
tdx,1s,16,1bs,bf16,512,128,7B,16,28.180212
tdx,1s,16,1bs,bf16,512,128,7B,17,28.304312
tdx,1s,16,1bs,bf16,512,128,7B,18,28.316366
tdx,1s,16,1bs,bf16,512,128,7B,19,28.258077
tdx,1s,16,1bs,bf16,512,128,7B,20,28.252542
tdx,1s,16,1bs,bf16,512,128,7B,21,28.260064
tdx,1s,16,1bs,bf16,512,128,7B,22,28.222295
tdx,1s,16,1bs,bf16,512,128,7B,23,28.243783
tdx,1s,16,1bs,bf16,512,128,7B,24,28.240879
tdx,1s,16,1bs,bf16,512,128,7B,25,28.262449
tdx,1s,16,1bs,bf16,512,128,7B,26,28.262232
tdx,1s,16,1bs,bf16,512,128,7B,27,28.248749
tdx,1s,16,1bs,bf16,512,128,7B,28,28.290033
tdx,1s,16,1bs,bf16,512,128,7B,29,28.362818
